5111,COUSINS R,BURNS,BMO NESBITT BURNS SECURITIES LTD.,26-May-10
5116,KEUSCH L,RAYMOND,"RAYMOND JAMES & ASSOCIATES, INC.",4-May-21
5121,ROBERTS J,BUCK,BUCKLER SECURITIES LLC,14-Jan-13
5136,LOEB D,FRIEDMAN,"Friedman, Billings, Ramsey & Co., Inc.",18-Mar-05
5137,KESSLER J,IMPERCAP,"Imperial Capital, LLC",3-Nov-21
5302,CROOK D,GLOCROWN,"Global Crown Capital, LLC",31-Jan-08
5414,BASHAM M,POORSTAN,Piper Sandler & Co.,24-May-10
5469,CONNELLY M,STEPHENS,STEPHENS,12-Oct-21
5474,DALFEN A,MACQUARI,MACQUARIE CAPITAL (USA) INC.,3-Aug-10
5496,DERCHIN M,IMPERCAP,"Imperial Capital, LLC",7-Aug-19
5504,DIANA M,MAXIM,MAXIM GROUP LLC,18-Nov-21
5527,EDELSTONE M,MORGAN,MCMORGAN & COMPANY CAPITAL ADVISORS LLC,9-Mar-07
5546,FITZGERALD M,MONTSEC,Montgomery Securities,22-Jan-08
5560,GELLER M,OPPEN,,4-Nov-05
5610,HEIM M,NOBE,"NOBLE CAPITAL MARKETS, INC.",2-Dec-21
5637,ALBRECHT T,SCOTT,"SCOTT JAMES GROUP, INC.",26-Jul-16
5638,JAFFE M,POORSTAN,Piper Sandler & Co.,12-Feb-14
5648,MOORE C,CJSSECUR,"CJS Securities, Inc.",23-Jun-17
5716,MANDEL M,HALLUM,"B. Riley Securities, Inc.",30-Nov-11
5730,MAYO M,WHEAT,"Wheat Capital Management, Inc.",11-Jan-22
5756,STUMPF D,EDWARDS,"EDWARDS & SONS, INC.",27-Jul-07
5774,ERICKSON T,CRAIG,CRAIG-HALLUM CAPITAL GROUP LLC,28-Apr-17
5784,OPEL R,DAKIN,"DAKIN SECURITIES, LLC",11-May-06
5785,ORENBUCH M,FBOSTON,CREDIT SUISSE SECURITIES (USA) LLC,10-Feb-22
5802,PINHEIRO M,STURDIV,STURDIVANT & CO. INC,28-Dec-21
5836,ROBERTS M,WHEAT,"Wheat Capital Management, Inc.",10-Feb-05
5845,ROSS M,POINT,"PACIFIC POINT SECURITIES, LLC",3-Jan-22
5855,SAFRAI M,COOPER,"COOPER MALONE MCCLAIN, INC.",30-Mar-07
5955,WHITFIELD M,STERNE,"Sterne, Agee & Leach, Inc.",20-Nov-12
5959,PROULX C,BURNS,BMO NESBITT BURNS SECURITIES LTD.,9-Feb-11
5963,WOLK M,SUSQUEH,"SUSQUEHANNA FINANCIAL GROUP, LLLP",9-Mar-11
5964,WORMS M,BURNS,BMO NESBITT BURNS SECURITIES LTD.,6-Jan-17
5991,WILL C,LEHMAN,LEHMAN BROTHERS INC.,14-Jul-05
6069,JALONEN M,MERRILL,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",7-Feb-22
6207,"TONG, PHD M",WHEAT,"Wheat Capital Management, Inc.",10-May-13
6233,SHULMAN D,LEHMAN,LEHMAN BROTHERS INC.,24-Feb-05
6375,OVERTON N,MKEEGAN,,4-Aug-09
6452,CAMPBELL R,JEFFEREG,Jefferies LLC,22-Sep-09
6486,CASESA J,MERRILL,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",15-Nov-05
6628,ADORNATO P,BURNS,BMO NESBITT BURNS SECURITIES LTD.,7-Mar-17
6710,FOOTE R,MURIELSI,"Muriel Siebert & Co., Inc.",18-Apr-05
6744,MAGEE D,ROBINSON,"ROBINSON & CO., INC.",25-Oct-17
6749,HODGE G,WEISEL,Thomas Weisel Partners LLC,26-Oct-07
6758,JACOBS P,CABLEHOW,CABLE HOWSE & RAGEN INC.,24-Jul-09
6810,MAHON P,SUMMCAP,Summit Capital Partners LLC,18-Nov-13
6821,MCMULLIN P,JESUPLAM,Jesup & Lamont Securities Corporation,31-Jul-07
6867,RUEPPEL P,WHEAT,"Wheat Capital Management, Inc.",11-May-12
6957,BETTS M,JEFFEREG,Jefferies LLC,10-Oct-16
6958,BARTLETT M,CRAIG,CRAIG-HALLUM CAPITAL GROUP LLC,28-Jul-16
6976,ZICHA A,MCLEOD,McLeod & Company,2-Nov-17
7164,ARCHIBOLD R,KAUFBRO,,7-Nov-08
7198,LEUFFER F,BEAR,BEAR CREEK SECURITIES LLC,7-Jul-05
7463,MCADOO R,IMPERCAP,"Imperial Capital, LLC",14-Aug-15
7482,HINCKLEY R,ROCHDALS,Rochdale Securities LLC,15-Feb-08
7485,MORBELLI R,GABELLCO,"G.research, LLC",5-Sep-13
7571,SCHENOSKY R,JEFFEREG,Jefferies LLC,1-Oct-08
7586,SHERLUND R,NOMURAUS,"Nomura Securities International, Inc.",26-Oct-15
7590,SILVER R,FRCLAYSC,Barclays Capital Inc.,5-May-11
7604,SRIKANTH R,LAWRENCE,"LAWRENCE, KAMIN, SAUER & WIGON INCORPORATED",16-Dec-04
7609,STERN R,NEEDHAM,"NEEDHAM & COMPANY, LLC",29-Apr-05
7613,STOVER M,GUGGEL,"Guggenheim Securities, LLC",25-Mar-14
7628,TOOMEY R,EKRILEY,"E.K. Riley Investments, LLC",3-Apr-08
7630,UHL R,FRIEDMAN,"Friedman, Billings, Ramsey & Co., Inc.",26-Dec-07
7649,WHITTINGTON R,DREXEL,"DREXEL HAMILTON, LLC",31-Aug-15
7664,"YOUNG, MBA R",CANACCOR,CANACCORD GENUITY LLC,26-Oct-21
7841,AKYOL S,STIFEL,"STIFEL INDEPENDENT ADVISORS, LLC",22-Nov-21
7842,ALANIZ S,SANDLER,"Sandler O'Neill & Partners, L.P.",3-Feb-06
7865,BIGGAR S,ARGUS,ARGUS RESEARCH COMPANY,14-Sep-17
7891,CICCARELLI S,ROBINSON,"ROBINSON & CO., INC.",12-Jan-22
7924,EAST S,WHEAT,"Wheat Capital Management, Inc.",8-Jul-19
